,sent1,sent2,label,source
325,زنان به قدری بخش بزرگی از نیروی کار را تشکیل می دهند که به سختی می توان باور داشت که اگر این امر در مورد زنان  صادق نباشد ، این امر می تواند صادق باشد.,مردان بخش عظیمی از نیروی کار هستند بنابراین تنها افراد مهم هستند.,c,translation-train
407,سالها است که کنگره در تلاش است تا اثربخشی مدیریت اطلاعات و فناوری را در دولت فدرال افزایش دهد.,کنگره بودجه ویژه ای برای مدیریت اطلاعات و فناوری در دولت فدرال دارد.,n,translation-train
762,سرامیک‌های زیست خنثی پس از قرارگیری در بدن میزبان خواص فیزیکی و مکانیکی خود را حفظ می‌کند.,خواص فیزیکی سرامیک‌ها قابل اندازه گیری است.,n,natural-wiki
575,دولت از هیچ قانونی که منجر به کاهش چشمگیر توانایی کشورمان در استفاده از زغال سنگ به عنوان منبع اصلی برق فعلی و آینده شود ، پشتیبانی نخواهد کرد.,قانونی که باعث کاهش استفاده از زغال سنگ به عنوان منبع انرژی شود ، توسط دولت پشتیبانی نمی شود.,e,translation-train
7342,روش‌ها و الگوریتم‌های بهینه‌سازی به دو دسته الگوریتمهای دقیق (exact) و الگوریتم‌های تقریبی (approximate algorithms) تقسیم‌بندی می‌شوند.,آمار در دروس مدیریتی نقش مهمی را بازی میکند. ,n,natural-wiki
7213,گرچه بسیاری از اختلافات یاد شده در بین فقها برسربحث ستر صلاتی بوده است، اما اختلافات آنها در بحث کمّیت پوشش برای نماز به بحث کمّیت پوشش از نگاه نیز سرایت کرده است.,در داشتن حجاب به هنگام نماز در یک اتاق خالی و بدون وجود نامحرم چه فلسفه ای نهفته است؟,n,natural-wiki
440,"تیقیلر، کچارلی (به لاتین: Tığıllar, Koçarlı) یک منطقهٔ مسکونی در ترکیه است که در Koçarlı واقع شده‌است.",کوچه لره سو سپمیشم یک اهنگ ترکی قدیمی می باشد.,n,natural-wiki
221,وزیر کشور عراق در ادامه با بیان اینکه ایران رنج‌های زیادی بابت تحریم‌های اقتصادی مواجه شد اظهار کرد: اما ایران رهبر فرزانه و حکیم دارد که توانست از همه مشکلات عبور کند.,به گفته وزیر کشور عراق ایران توانست مشکلات تحریم را پشت سر بگذارد.,e,natural-miras
424,لینکلن چشم دوخت.,مرد چشمک زد.,c,translation-dev
7670,"""سیف"" کتب و مقالات بسیاری در زمینهٔ اقتصاد، سیاست و تاریخ مشروطه به رشتهٔ تحریر درآورده یاترجمه کرده ‌است.","فعالیتهای آقای ""سیف"" بیشتر معطوف بر نوشتار و ترجمه بود. ",e,natural-wiki
